x/H y/H N U/Uc V/Uc W/Uc
2.44E-02 5.01E-01 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 1.50E+00 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 2.51E+00 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 3.16E+00 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 1.21E-01 12 -6.32E-04 -8.64E-04 -4.50E-03
2.44E-02 1.30E-01 14 6.02E-04 -5.70E-03 -9.53E-03
2.44E-02 1.57E-01 8 9.40E-05 -9.98E-03 -1.44E-02
2.44E-02 1.72E-01 3 -5.66E-04 -1.22E-02 -7.01E-03
2.44E-02 2.04E-01 4 -8.86E-03 -4.23E-03 -1.04E-02
2.44E-02 2.31E-01 4 -2.22E-03 -6.22E-03 -5.67E-03
2.44E-02 2.53E-01 12 -1.25E-03 -1.10E-02 -1.00E-02
2.44E-02 2.89E-01 5 3.24E-03 -1.02E-02 -9.13E-03
2.44E-02 2.99E-01 3 -3.15E-03 -1.13E-02 -1.36E-02
2.44E-02 3.25E-01 11 -1.15E-03 -1.41E-02 -2.09E-02
2.44E-02 3.58E-01 37 4.62E-04 -1.31E-03 -1.56E-02
2.44E-02 3.76E-01 9 -2.75E-04 -9.76E-03 -9.02E-03
2.44E-02 4.06E-01 4 3.98E-03 -9.80E-03 -7.96E-03
2.44E-02 4.30E-01 35 2.22E-03 6.85E-03 -1.20E-03
2.44E-02 4.48E-01 35 1.51E-04 -2.71E-03 -8.39E-03
2.44E-02 4.78E-01 26 7.30E-04 -6.99E-03 -1.03E-02
2.44E-02 5.02E-01 46 -5.63E-04 -6.16E-03 -7.37E-03
2.44E-02 5.26E-01 50 -3.55E-04 -2.98E-03 -8.46E-03
2.44E-02 5.48E-01 10 -6.19E-04 -2.98E-03 -1.38E-02
2.44E-02 5.75E-01 17 -1.94E-03 -1.07E-02 -1.85E-02
2.44E-02 6.01E-01 16 -1.29E-03 -7.85E-03 -1.43E-02
2.44E-02 6.27E-01 99 -2.80E-04 -2.14E-03 -1.13E-02
2.44E-02 2.66E+01 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 6.76E-01 11 -2.00E-04 -8.07E-03 -7.77E-03
2.44E-02 2.91E+01 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 7.24E-01 9 9.99E-04 -5.66E-03 -7.12E-04
2.44E-02 7.41E-01 3 -2.80E-04 -1.22E-02 1.23E-02
2.44E-02 7.73E-01 11 1.14E-03 -1.07E-02 -1.44E-02
2.44E-02 7.97E-01 84 -6.04E-05 3.10E-04 -8.53E-03
2.44E-02 8.16E-01 18 -2.90E-03 -1.94E-04 -1.68E-02
2.44E-02 8.42E-01 13 -3.18E-04 8.17E-04 -1.08E-02
2.44E-02 3.56E+01 0 0.00E+00 0.00E+00 0.00E+00
2.44E-02 8.92E-01 4 7.49E-01 -1.21E-03 -3.62E-02
2.44E-02 9.19E-01 4 -4.34E-03 1.59E-03 1.54E-03
2.44E-02 9.37E-01 13 -4.12E-03 6.41E-03 4.49E-03
2.44E-02 9.69E-01 12 1.85E-01 3.67E-02 -1.85E-02
2.44E-02 9.93E-01 8 1.25E-01 6.69E-02 4.21E-02
2.44E-02 1.02E+00 189 3.05E-01 -4.24E-03 -1.87E-02
2.44E-02 1.04E+00 443 5.42E-01 -5.56E-03 -1.75E-02
2.44E-02 1.06E+00 537 6.77E-01 -8.51E-03 -1.68E-02
2.44E-02 1.09E+00 516 7.19E-01 -8.87E-03 -1.94E-02
2.44E-02 1.11E+00 430 7.54E-01 -6.71E-03 -1.91E-02
2.44E-02 1.14E+00 426 7.74E-01 -6.10E-03 -1.46E-02
2.44E-02 1.16E+00 376 7.86E-01 -2.34E-03 -2.00E-02
2.44E-02 1.19E+00 369 8.05E-01 -5.84E-03 -1.87E-02
2.44E-02 1.21E+00 344 8.16E-01 -2.45E-03 -1.82E-02
2.44E-02 1.23E+00 355 8.22E-01 -1.70E-03 -1.71E-02
2.44E-02 1.26E+00 414 8.32E-01 4.57E-04 -2.04E-02
2.44E-02 1.28E+00 440 8.41E-01 3.99E-03 -1.61E-02
2.44E-02 1.31E+00 505 8.41E-01 5.52E-03 -1.82E-02
2.44E-02 1.33E+00 550 8.57E-01 2.80E-03 -1.54E-02
2.44E-02 1.36E+00 603 8.71E-01 1.76E-03 -1.73E-02
2.44E-02 1.38E+00 624 8.77E-01 -6.25E-04 -1.55E-02
2.44E-02 1.41E+00 654 8.91E-01 -4.81E-04 -1.41E-02
2.44E-02 1.43E+00 702 9.01E-01 -1.38E-03 -1.69E-02
2.44E-02 1.45E+00 749 9.10E-01 -3.92E-03 -1.82E-02
2.44E-02 1.48E+00 748 9.17E-01 -6.01E-03 -1.75E-02
2.44E-02 1.50E+00 721 9.24E-01 -1.02E-03 -1.64E-02
2.44E-02 1.53E+00 712 9.33E-01 -7.49E-04 -1.80E-02
2.44E-02 1.55E+00 752 9.36E-01 -3.72E-03 -1.34E-02
2.44E-02 1.58E+00 676 9.47E-01 -1.80E-03 -2.19E-02
2.44E-02 1.60E+00 698 9.51E-01 -1.30E-03 -1.79E-02
2.44E-02 1.63E+00 715 9.57E-01 -3.22E-03 -1.99E-02
2.44E-02 1.65E+00 716 9.60E-01 -9.46E-04 -1.66E-02
2.44E-02 1.67E+00 704 9.68E-01 -1.69E-03 -1.60E-02
2.44E-02 1.70E+00 768 9.70E-01 -5.69E-04 -1.79E-02
2.44E-02 1.72E+00 701 9.75E-01 -1.88E-03 -1.98E-02
2.44E-02 1.75E+00 627 9.81E-01 -4.26E-04 -2.05E-02
2.44E-02 1.77E+00 687 9.79E-01 -3.25E-03 -1.93E-02
2.44E-02 1.80E+00 669 9.82E-01 1.76E-03 -1.90E-02
2.44E-02 1.82E+00 719 9.91E-01 -2.57E-03 -1.92E-02
2.44E-02 1.85E+00 664 9.92E-01 -2.17E-03 -1.74E-02
2.44E-02 1.87E+00 689 9.95E-01 -4.06E-04 -1.97E-02
2.44E-02 1.89E+00 673 9.99E-01 -4.84E-03 -1.75E-02
2.44E-02 1.92E+00 627 9.95E-01 1.01E-03 -2.05E-02
2.44E-02 1.94E+00 664 9.99E-01 -1.84E-03 -1.82E-02
2.44E-02 1.97E+00 648 1.01E+00 -1.61E-03 -1.83E-02
2.44E-02 1.99E+00 641 9.97E-01 -3.56E-03 -1.92E-02
2.44E-02 2.02E+00 615 1.00E+00 -2.80E-03 -2.05E-02
2.44E-02 2.04E+00 568 9.96E-01 -2.14E-03 -2.17E-02
2.44E-02 2.07E+00 623 9.97E-01 -4.24E-04 -1.95E-02
2.44E-02 2.09E+00 618 9.94E-01 -1.94E-03 -1.88E-02
2.44E-02 2.12E+00 569 9.91E-01 -1.15E-03 -2.01E-02
2.44E-02 2.14E+00 597 9.87E-01 -2.83E-03 -1.90E-02
2.44E-02 2.16E+00 550 9.86E-01 -1.16E-03 -1.89E-02
2.44E-02 2.19E+00 596 9.83E-01 -2.89E-03 -2.15E-02
2.44E-02 2.21E+00 571 9.80E-01 -2.34E-03 -1.70E-02
2.44E-02 2.24E+00 565 9.72E-01 -2.25E-03 -2.08E-02
2.44E-02 2.26E+00 559 9.67E-01 -2.94E-03 -2.09E-02
2.44E-02 2.29E+00 595 9.61E-01 -2.84E-03 -1.91E-02
2.44E-02 2.31E+00 567 9.59E-01 -3.30E-03 -1.98E-02
2.44E-02 2.34E+00 576 9.54E-01 1.85E-04 -1.72E-02
2.44E-02 2.36E+00 604 9.47E-01 -3.40E-03 -1.84E-02
2.44E-02 2.38E+00 607 9.37E-01 -3.16E-03 -2.25E-02
2.44E-02 2.41E+00 645 9.35E-01 -3.33E-03 -1.98E-02
2.44E-02 2.43E+00 577 9.23E-01 -1.94E-03 -1.85E-02
2.44E-02 2.46E+00 624 9.19E-01 -5.00E-03 -2.15E-02
2.44E-02 2.48E+00 600 9.16E-01 -2.49E-03 -2.21E-02
2.44E-02 2.51E+00 627 9.07E-01 -3.38E-03 -2.10E-02
2.44E-02 2.53E+00 647 8.98E-01 -2.45E-03 -2.32E-02
2.44E-02 2.55E+00 706 8.91E-01 -1.83E-03 -2.43E-02
2.44E-02 2.58E+00 661 8.84E-01 -3.86E-03 -2.01E-02
2.44E-02 2.60E+00 716 8.74E-01 -5.16E-03 -1.89E-02
2.44E-02 2.63E+00 678 8.69E-01 -2.07E-03 -1.90E-02
2.44E-02 2.65E+00 698 8.55E-01 -2.99E-03 -2.19E-02
2.44E-02 2.68E+00 702 8.44E-01 -2.36E-03 -1.88E-02
2.44E-02 2.70E+00 720 8.33E-01 -3.43E-03 -2.09E-02
2.44E-02 2.73E+00 788 8.21E-01 -3.88E-03 -1.91E-02
2.44E-02 2.75E+00 686 8.12E-01 -2.19E-03 -1.93E-02
2.44E-02 2.78E+00 764 7.91E-01 -3.08E-03 -1.53E-02
2.44E-02 2.80E+00 739 7.76E-01 -4.13E-03 -1.77E-02
2.44E-02 2.82E+00 736 7.61E-01 -4.14E-03 -1.54E-02
