"boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,21,0.0125,1.5
0,0,0,0,0.54267,0.54267,0.54267,1.8371e-08,0,0,0,0,0,0,0,0,0.99844,1,0.9867,0.0011948,303.21,303.21,303.21,5.8254e-05,0,0,0,0,4.1942e-05,0.00058809,0,6.2891e-05,0.013062,0.43091,-0.10879,0.046666,7.8635e-07,0.015155,-0.015529,0.0032356,0.00051665,0.061983,-0.05311,0.015105,1,0.016528,21,0.029028,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99844,1,0.98676,0.0011886,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.5594e-05,0.00023718,0,3.3489e-05,0.018028,0.59305,-0.16623,0.065464,1.3904e-05,0.027882,-0.029572,0.00603,0.00071374,0.094739,-0.088175,0.023403,1,0.033056,21,0.045556,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99844,1,0.98669,0.0011955,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.3926e-05,0.00025501,0,3.3637e-05,0.017075,0.57467,-0.20037,0.067732,0.00019267,0.044369,-0.058865,0.010605,0.00034496,0.11263,-0.15628,0.031675,1,0.049583,21,0.062083,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99844,1,0.98661,0.001203,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.2238e-05,0.00025807,0,3.2663e-05,0.015934,0.55529,-0.22887,0.069642,0.00039379,0.059577,-0.086893,0.015006,-5.2302e-05,0.12752,-0.2149,0.039008,1,0.066111,21,0.078611,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99844,1,0.9865,0.0012136,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.046e-05,0.00018903,0,2.6202e-05,0.013869,0.53098,-0.22983,0.069801,0.00070422,0.068534,-0.10874,0.018553,-0.00058877,0.12774,-0.22712,0.041759,1,0.082639,21,0.095139,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98642,0.0012215,303.21,303.21,303.21,5.8254e-05,0,0,0,0,2.9864e-05,0.00015276,0,2.3388e-05,0.011795,0.51539,-0.22531,0.07018,0.00090742,0.074006,-0.1325,0.021934,-0.0010321,0.12287,-0.21779,0.04279,1,0.099167,21,0.11167,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98639,0.0012242,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.1613e-05,0.00018146,0,2.7802e-05,0.0097025,0.5171,-0.20993,0.070995,0.00089809,0.072567,-0.16005,0.024988,-0.0012906,0.10793,-0.16572,0.040412,1,0.11569,21,0.12819,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98633,0.0012302,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.2816e-05,0.0001998,0,3.0699e-05,0.0076463,0.52926,-0.19732,0.072661,0.00078482,0.070369,-0.18991,0.028146,-0.0015837,0.099924,-0.13541,0.038785,1,0.13222,21,0.14472,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98623,0.0012398,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.3472e-05,0.0002078,0,3.2083e-05,0.0056263,0.55183,-0.18747,0.075176,0.00056792,0.067413,-0.22208,0.031409,-0.0019112,0.098837,-0.12679,0.037905,1,0.14875,21,0.16125,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98612,0.0012501,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.3554e-05,0.0001912,0,3.0967e-05,0.0036071,0.55645,-0.17911,0.076512,0.0004513,0.071875,-0.25014,0.034382,-0.0022571,0.099441,-0.12362,0.037922,1,0.16528,21,0.17778,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98601,0.0012607,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.3347e-05,0.00016226,0,2.86e-05,0.0015882,0.55209,-0.1715,0.077257,0.00038493,0.080055,-0.27616,0.037211,-0.0026121,0.10089,-0.12317,0.03839,1,0.18181,21,0.19431,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99843,1,0.98589,0.0012727,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.4442e-05,0.00020706,0,3.1165e-05,-0.0005864,0.53085,-0.16454,0.076469,0.00044929,0.088076,-0.30464,0.040165,-0.002825,0.097761,-0.1284,0.038803,1,0.19833,21,0.21083,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99842,1,0.98576,0.0012849,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.5802e-05,0.00026681,0,3.4728e-05,-0.0027925,0.50619,-0.15771,0.075371,0.00054013,0.096064,-0.33363,0.043145,-0.0030092,0.0937,-0.13478,0.039205,1,0.21486,21,0.22736,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99842,1,0.98553,0.001308,303.21,303.21,303.21,5.8254e-05,0,0,0,0,3.66e-05,0.00030334,0,3.7187e-05,-0.0050861,0.50041,-0.1651,0.075226,0.00080646,0.10165,-0.35868,0.045756,-0.0029267,0.088115,-0.13712,0.039901,1,0.23139,21,0.24389,1.5
