"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0014,1.0043,0.99854,0.00057066,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,0.00032277,0.00070489,0,0.00014395,0,0,0,0,-0.071025,0.1234,-0.23529,0.069984,-0.00065582,0.017545,-0.027647,0.0069514,-0.013737,0.17677,-0.14659,0.05647,1,0,14,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0015,1.0043,0.99865,0.00056307,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,0.00025248,0.00058126,0,0.00012272,0,0,0,0,-0.10214,0.20438,-0.32399,0.10796,-0.0025589,0.049933,-0.087891,0.023398,-0.020926,0.24286,-0.24884,0.08948,1,0.016667,14,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0015,1.0044,0.99876,0.00055548,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,0.00018219,0.00045763,0,0.0001015,0,0,0,0,-0.13325,0.28536,-0.41268,0.14594,-0.004462,0.082321,-0.14813,0.039844,-0.028115,0.30895,-0.35108,0.12249,1,0.033333,14,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0015,1.0044,0.99867,0.00053669,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,0.00017035,0.00042854,0,9.0734e-05,0,0,0,0,-0.1282,0.29782,-0.40496,0.14611,-0.0075024,0.11717,-0.19874,0.057628,-0.025917,0.30713,-0.39329,0.12757,1,0.05,14,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0015,1.0044,0.99857,0.00051788,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,0.00015859,0.00039957,0,7.9987e-05,0,0,0,0,-0.1231,0.31018,-0.39711,0.14622,-0.010544,0.15203,-0.24934,0.075413,-0.023706,0.30522,-0.43541,0.13262,1,0.066667,14,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0014,1.0043,0.99824,0.00054164,166.26,166.26,166.26,2.8395e-05,0,0,0,0,0.00016411,0.00042608,0,8.403e-05,0,0,0,0,-0.11747,0.31873,-0.39323,0.14337,-0.013529,0.18036,-0.29823,0.088563,-0.019557,0.2921,-0.41167,0.12687,1,0.083333,14,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0014,1.0043,0.99791,0.00056553,332.89,332.89,332.89,5.6852e-05,0,0,0,0,0.00016968,0.00045274,0,8.8112e-05,0,0,0,0,-0.11185,0.32727,-0.38937,0.14051,-0.016513,0.20867,-0.34712,0.1017,-0.015401,0.27896,-0.38774,0.1211,1,0.1,14,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0014,1.0042,0.99782,0.00057412,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00017396,0.00042505,0,8.5569e-05,0,0,0,0,-0.10597,0.33044,-0.38522,0.14651,-0.01863,0.21858,-0.37957,0.11113,-0.011721,0.2975,-0.347,0.11882,1,0.11667,14,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0013,1.0042,0.99772,0.00058265,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00017823,0.00039715,0,8.2999e-05,0,0,0,0,-0.1001,0.33358,-0.38108,0.15255,-0.020743,0.22841,-0.41196,0.12054,-0.0080427,0.31618,-0.30618,0.11656,1,0.13333,14,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0013,1.0041,0.99795,0.00058303,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00018252,0.00042511,0,8.4526e-05,0,0,0,0,-0.094658,0.33789,-0.3703,0.15794,-0.02277,0.24394,-0.42278,0.12728,-0.0036956,0.32338,-0.28304,0.12087,1,0.15,14,0.15,1.5
