"u","v","w","rho","tauSGS","boundary1","boundary2","boundary3","sdf","solid","neiSolid","Points:0","Points:1","Points:2"
-0.010275,1.9516e-05,-3.7247e-08,1.0001,0,0,0,0,101.01,0,0,0.5,0.015152,0.0050505
-0.0034869,3.6128e-06,-3.7247e-08,1.0001,0,0,1,0,101.01,0,0,0.5,0.0050505,0.0050505
-0.016775,4.6705e-05,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.025253,0.0050505
-0.023017,8.6223e-05,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.035354,0.0050505
-0.02903,0.00012995,-3.7244e-08,1.0001,0,0,0,0,101.01,0,0,0.5,0.045455,0.0050505
-0.034836,0.00018175,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.055556,0.0050505
-0.040459,0.00024016,1.8068e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.065657,0.0050505
-0.04592,0.00030344,-1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.075758,0.0050505
-0.051239,0.00037271,-1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.085859,0.0050505
-0.056432,0.00045033,-1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.09596,0.0050505
-0.061518,0.00053751,-7.4493e-08,1.0001,0,0,0,0,101.01,0,0,0.5,0.10606,0.0050505
-0.066511,0.00063335,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.11616,0.0050505
-0.071424,0.00074147,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.12626,0.0050505
-0.076267,0.00086547,-3.6138e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.13636,0.0050505
-0.081054,0.0010091,-1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.14646,0.0050505
-0.085794,0.0011769,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.15657,0.0050505
-0.090492,0.0013712,-1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.16667,0.0050505
-0.095157,0.0016005,1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.17677,0.0050505
-0.099792,0.0018663,-7.4491e-08,1.0001,0,0,0,0,101.01,0,0,0.5,0.18687,0.0050505
-0.1044,0.0021735,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.19697,0.0050505
-0.10899,0.0025262,3.7246e-08,1.0001,0,0,0,0,101.01,0,0,0.5,0.20707,0.0050505
-0.11355,0.0029365,1.8069e-12,1.0001,0,0,0,0,101.01,0,0,0.5,0.21717,0.0050505
-0.11809,0.0034072,0,1.0001,0,0,0,0,101.01,0,0,0.5,0.22727,0.0050505
