"u","v","w","rho","tauSGS","boundary1","boundary2","boundary3","sdf","solid","neiSolid","Points:0","Points:1","Points:2"
0.28092,1.192e-06,-3.7251e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.075758,0.025253
0.097241,3.725e-08,0,1.0001,0,0,1,0,505.05,0,0,2.5252,0.025253,0.025253
0.44418,-4.2093e-06,-2.2351e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.12626,0.025253
0.58702,-2.1978e-06,-1.8625e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.17677,0.025253
0.70948,-3.9485e-06,-7.4502e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.22727,0.025253
0.81153,-1.8253e-06,0,1.0001,0,0,0,0,505.05,0,0,2.5252,0.27778,0.025253
0.89316,-2.8683e-06,-3.7251e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.32828,0.025253
0.95438,6.7051e-07,-1.8625e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.37879,0.025253
0.9952,-2.7938e-06,-3.7251e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.42929,0.025253
1.0156,8.5676e-07,3.725e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.4798,0.025253
1.0156,-1.5645e-06,0,1.0001,0,0,0,0,505.05,0,0,2.5252,0.5303,0.025253
0.99521,3.725e-07,1.1175e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.58081,0.025253
0.9544,-1.2293e-06,2.235e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.63131,0.025253
0.89318,4.5445e-06,2.235e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.68182,0.025253
0.81154,2.0115e-06,2.235e-07,1.0001,0,0,0,0,505.05,0,0,2.5252,0.73232,0.025253
0.70951,3.2408e-06,0,1.0001,0,0,0,0,505.05,0,0,2.5252,0.78283,0.025253
0.58706,3.3898e-06,0,1.0001,0,0,0,0,505.05,0,0,2.5252,0.83333,0.025253
0.44419,5.5502e-06,3.725e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.88384,0.025253
0.28092,1.7135e-06,-7.4502e-08,1.0001,0,0,0,0,505.05,0,0,2.5252,0.93434,0.025253
0.097247,4.4701e-07,-1.8625e-07,1.0001,0,0,1,0,505.05,0,0,2.5252,0.98485,0.025253
