"GxIBM_average","GxIBM_maximum","GxIBM_minimum","GxIBM_stddev","GyIBM_average","GyIBM_maximum","GyIBM_minimum","GyIBM_stddev","GzIBM_average","GzIBM_maximum","GzIBM_minimum","GzIBM_stddev","boundary1_average","boundary1_maximum","boundary1_minimum","boundary1_stddev","boundary2_average","boundary2_maximum","boundary2_minimum","boundary2_stddev","boundary3_average","boundary3_maximum","boundary3_minimum","boundary3_stddev","neiSolid_average","neiSolid_maximum","neiSolid_minimum","neiSolid_stddev","omega_average","omega_maximum","omega_minimum","omega_stddev","rho_average","rho_maximum","rho_minimum","rho_stddev","sdf_average","sdf_maximum","sdf_minimum","sdf_stddev","solid_average","solid_maximum","solid_minimum","solid_stddev","tauSGS_average","tauSGS_maximum","tauSGS_minimum","tauSGS_stddev","u0_average","u0_maximum","u0_minimum","u0_stddev","u_average","u_maximum","u_minimum","u_stddev","v_average","v_maximum","v_minimum","v_stddev","w_average","w_maximum","w_minimum","w_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3854e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077111,0.016677,0.016677,0.016677,5.3066e-09,0,0,0,0,0.00022235,0.00074874,0,0.00014495,0,0,0,0,0.056049,0.2254,-0.12688,0.055018,-0.0007279,0.0096215,-0.014097,0.0043235,0.0084856,0.1193,-0.10469,0.037114,1,0,18,0,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50034,0.50034,0.50034,1.6938e-08,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0025,1.0091,1,0.0007779,0.033344,0.033344,0.033344,8.854e-09,0,0,0,0,0.00019426,0.00061809,0,0.00011653,0,0,0,0,0.10254,0.38361,-0.15749,0.087996,-0.0026285,0.034843,-0.053067,0.015343,0.014329,0.19522,-0.17528,0.063319,1,0.016667,18,0.016667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066751,0.00066751,0.00066751,2.2597e-11,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0025,1.0091,1,0.0007847,0.050011,0.050011,0.050011,1.2401e-08,0,0,0,0,0.00016618,0.00048744,0,8.812e-05,0,0,0,0,0.14903,0.54182,-0.18809,0.12097,-0.0045291,0.060065,-0.092037,0.026363,0.020173,0.27115,-0.24586,0.089525,1,0.033333,18,0.033333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0025,1.0091,1,0.00077735,0.066677,0.066677,0.066677,1.3273e-08,0,0,0,0,0.00014979,0.00047646,0,8.1933e-05,0,0,0,0,0.17578,0.59093,-0.14152,0.12908,-0.0070186,0.092008,-0.15633,0.040561,0.02142,0.27702,-0.29056,0.097425,1,0.05,18,0.05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0025,1.0091,1,0.00076999,0.083343,0.083343,0.083343,1.4141e-08,0,0,0,0,0.00013341,0.00046564,0,7.5776e-05,0,0,0,0,0.2025,0.63988,-0.094839,0.13715,-0.0095088,0.12396,-0.22066,0.054764,0.022661,0.28279,-0.33522,0.1053,1,0.066667,18,0.066667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0025,1.0091,1,0.00076723,166.26,166.26,166.26,2.8395e-05,0,0,0,0,0.00012642,0.00038803,0,6.6258e-05,0,0,0,0,0.21744,0.62373,-0.076398,0.13764,-0.011462,0.14405,-0.27724,0.066152,0.02134,0.29477,-0.32207,0.10644,1,0.083333,18,0.083333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00076449,332.89,332.89,332.89,5.6852e-05,0,0,0,0,0.00011946,0.00031025,0,5.6731e-05,0,0,0,0,0.23234,0.6074,-0.058033,0.13811,-0.013413,0.1641,-0.3338,0.077533,0.020011,0.30677,-0.30877,0.10756,1,0.1,18,0.1,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00076771,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00011795,0.00030461,0,5.5938e-05,0,0,0,0,0.24184,0.59505,-0.030145,0.13583,-0.014349,0.17157,-0.3598,0.084628,0.019354,0.30876,-0.28334,0.1086,1,0.11667,18,0.11667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077094,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00011647,0.00029926,0,5.518e-05,0,0,0,0,0.25131,0.58271,-0.0022183,0.13353,-0.01528,0.17898,-0.38567,0.091706,0.018699,0.31071,-0.25786,0.10965,1,0.13333,18,0.13333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077205,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00012086,0.00032989,0,5.7448e-05,0,0,0,0,0.25678,0.58043,-0.001792,0.13052,-0.014395,0.18248,-0.37656,0.095819,0.019859,0.30775,-0.23306,0.11157,1,0.15,18,0.15,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077314,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00012528,0.00036072,0,5.9732e-05,0,0,0,0,0.26222,0.57822,-0.0015134,0.1275,-0.0135,0.18595,-0.36725,0.099915,0.021029,0.30477,-0.20827,0.1135,1,0.16667,18,0.16667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.0007736,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00012737,0.00037631,0,6.1361e-05,0,0,0,0,0.26722,0.57226,-0.0012963,0.12647,-0.010949,0.20094,-0.35886,0.10326,0.022338,0.32475,-0.20505,0.11499,1,0.18333,18,0.18333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077406,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00012944,0.0003918,0,6.2985e-05,0,0,0,0,0.27222,0.56628,-0.0010796,0.12546,-0.0083874,0.21601,-0.35048,0.1066,0.023648,0.34488,-0.20199,0.11649,1,0.2,18,0.2,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077552,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00013084,0.0003927,0,6.5554e-05,0,0,0,0,0.27751,0.5685,-0.00054361,0.12702,-0.0054816,0.23455,-0.36465,0.11012,0.024362,0.34886,-0.19256,0.11722,1,0.21667,18,0.21667,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077699,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00013224,0.00039348,0,6.813e-05,0,0,0,0,0.28279,0.5708,-5.0367e-06,0.12861,-0.0025731,0.25311,-0.37901,0.11365,0.025072,0.35271,-0.18309,0.11794,1,0.23333,18,0.23333,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9967,1.9967,1.9967,9.9986e-07,1.0024,1.0091,1,0.00077989,333.56,333.56,333.56,5.6966e-05,0,0,0,0,0.00013303,0.00039498,0,6.8713e-05,0,0,0,0,0.28796,0.58183,-0.011684,0.13038,-0.00045544,0.2704,-0.3805,0.1171,0.024327,0.32762,-0.18348,0.11814,1,0.25,18,0.25,1.5
