"u","v","w","rho","tauSGS","boundary1","boundary2","boundary3","sdf","solid","neiSolid","GxIBM","GyIBM","GzIBM","omega","Points:0","Points:1","Points:2"
-0.010874,8.9281e-07,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.010101,0
-0.003689,-5.604e-08,-3.7247e-08,1.0002,0,0,1,0,101.01,0,0,0,0,0,1.542,0.5,0,0
-0.01776,-5.6145e-07,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.020202,0
-0.024378,-5.4807e-06,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.030303,0
-0.03076,-1.3473e-05,-1.8625e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.040404,0
-0.03693,-2.7725e-05,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.050505,0
-0.042916,-4.816e-05,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.060606,0
-0.04874,-7.3381e-05,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.070707,0
-0.054424,-0.00010313,-1.8625e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.080808,0
-0.059988,-0.00013323,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.090909,0
-0.065446,-0.00016361,1.8622e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.10101,0
-0.070819,-0.00019155,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.11111,0
-0.076121,-0.0002127,-1.8625e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.12121,0
-0.081362,-0.00022325,-1.8625e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.13131,0
-0.086559,-0.00022075,1.8622e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.14141,0
-0.091718,-0.00019767,1.8622e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.15152,0
-0.09685,-0.00015219,-5.5869e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.16162,0
-0.10196,-7.5388e-05,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.17172,0
-0.10706,3.5543e-05,-1.8625e-08,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.18182,0
-0.11214,0.00018976,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.19192,0
-0.11722,0.00039132,-3.9148e-12,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.20202,0
-0.12228,0.00064919,0,1.0002,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.21212,0
-0.12734,0.00096829,-1.8625e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.22222,0
-0.13239,0.0013585,0,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.23232,0
-0.13741,0.0018264,1.8625e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.24242,0
-0.14242,0.0023811,1.8626e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.25253,0
-0.14738,0.003029,0,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.26263,0
-0.15231,0.003779,-1.8626e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.27273,0
-0.15717,0.0046356,1.8622e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.28283,0
-0.16197,0.0056119,-1.8622e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.29293,0
-0.16667,0.0067107,0,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.30303,0
-0.17128,0.0079405,1.8626e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.31313,0
-0.17575,0.0093092,0,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.32323,0
-0.18007,0.010821,0,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.33333,0
-0.18421,0.012483,1.8627e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.34343,0
-0.18816,0.014296,0,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.35353,0
-0.19188,0.016267,-1.8624e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.36364,0
-0.19535,0.018397,-1.8627e-08,1.0001,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.37374,0
-0.19853,0.02069,-1.8624e-08,1,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.38384,0
-0.2014,0.023141,-1.8624e-08,1,0,0,0,0,101.01,0,0,0,0,0,1.542,0.5,0.39394,0
