rhoMax,rhoMin,rhoAve
1,1,1
1.03524,1,1.02685
1.03406,0.999967,1.0146
1.00048,0.972731,0.989986
1,0.968279,0.978076
1.00003,0.991138,0.997348
1.02753,1,1.01783
1.02533,0.999995,1.01317
1.00038,0.985645,0.993941
1,0.974266,0.983893
1.00002,0.990293,0.996207
1.01984,1,1.01197
1.01957,0.999999,1.01097
1.00034,0.992009,0.996761
1,0.979829,0.988273
1.00001,0.990506,0.995949
1.01379,1,1.00798
1.0154,0.999999,1.00873
1.00031,0.995383,0.998594
1,0.984491,0.991532
1.00001,0.991174,0.996181
1.00951,1,1.00525
1.01218,0.999999,1.00681
1.00118,0.997226,0.999717
1.00004,0.988122,0.993942
1.00001,0.992021,0.996627
1.00658,1,1.00339
1.00964,0.999999,1.00524
1.00217,0.998217,1.00036
1.00008,0.990859,0.995716
1.00001,0.992897,0.997136
1.00461,1,1.00213
1.00765,0.999999,1.00398
1.00261,0.998698,1.00069
1.0001,0.992883,0.997018
1.00003,0.993721,0.997638
1.0033,0.999424,1.00128
1.00609,0.999998,1.00301
1.00276,0.998883,1.00083
1.00012,0.994351,0.997961
1.00006,0.994469,0.998098
1.00244,0.99858,1.00073
1.0049,0.999998,1.00225
1.0028,0.9989,1.00085
1.00013,0.995399,0.998642
1.00008,0.995122,0.998499
1.0019,0.998027,1.00038
1.00398,0.999998,1.00167
1.0027,0.998807,1.00081
1.00014,0.996148,0.999125
1.00009,0.995657,0.998834
1.00161,0.997694,1.00016
1.00329,0.999421,1.00124
1.00255,0.998672,1.00073
1.00061,0.996675,0.999464
1.00011,0.996109,0.999114
1.00139,0.997504,1.00003
1.00278,0.998906,1.0009
1.00242,0.99852,1.00064
1.00098,0.997036,0.9997
1.00038,0.99648,0.999342
1.00129,0.997391,0.999963
1.00242,0.998531,1.00065
1.00226,0.998356,1.00055
1.00119,0.997298,0.999863
1.00068,0.996761,0.999527
1.00129,0.997355,0.999932
1.00213,0.998243,1.00047
1.00208,0.998205,1.00047
1.00139,0.997477,0.99997
1.00092,0.996979,0.999675
1.00126,0.99736,0.999925
1.00191,0.998031,1.00034
1.00199,0.998082,1.00039
1.0015,0.997574,1.00003
1.00106,0.997155,0.999788
1.00127,0.997383,0.999938
1.0018,0.997886,1.00025
1.00189,0.997974,1.00031
1.00151,0.997628,1.00007
1.00119,0.997284,0.999875
1.00136,0.99743,0.999957
1.00169,0.997782,1.00019
1.00176,0.997884,1.00025
1.00155,0.997653,1.00009
1.00132,0.997384,0.999938
1.00137,0.997464,0.999981
1.00159,0.997716,1.00015
1.00171,0.997809,1.00021
1.00159,0.997664,1.0001
1.00136,0.997465,0.999988
1.00138,0.997502,1
1.00159,0.997679,1.00012
1.00167,0.997751,1.00017
1.00155,0.997671,1.0001
1.0014,0.997511,1.00002
1.00146,0.997537,1.00002
1.00157,0.997647,1.0001
1.00159,0.997719,1.00014
1.00154,0.997648,1.0001
1.00149,0.997561,1.00004
