"u","v","w","rho","tauSGS","boundary1","boundary2","boundary3","sdf","solid","neiSolid","GxIBM","GyIBM","GzIBM","omega","Points:0","Points:1","Points:2"
0.28093,4.9768e-05,7.4503e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.050505,0
0.097249,-5.2153e-05,0,1,0,0,1,0,505.05,0,0,0,0,0,1.8879,2.5252,0,0
0.4442,-5.5877e-05,1.8626e-07,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.10101,0
0.58706,4.8203e-05,1.4901e-07,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.15152,0
0.70951,-5.1705e-05,7.4503e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.20202,0
0.81156,5.0401e-05,3.7251e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.25253,0
0.89318,-5.096e-05,0,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.30303,0
0.95441,5.2077e-05,0,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.35353,0
0.99521,-4.9358e-05,-3.7251e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.40404,0
1.0156,5.1183e-05,0,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.45454,0
1.0156,-5.4386e-05,0,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.50505,0
0.99521,5.0512e-05,0,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.55555,0
0.95441,-5.1742e-05,7.4501e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.60606,0
0.89319,4.9954e-05,7.4503e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.65657,0
0.81156,-5.1034e-05,2.2351e-07,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.70707,0
0.70951,5.2151e-05,3.7251e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.75757,0
0.58707,-4.8911e-05,-3.7252e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.80808,0
0.44421,5.1556e-05,3.7251e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.85859,0
0.28093,-5.0886e-05,-3.7252e-08,1,0,0,0,0,505.05,0,0,0,0,0,1.8879,2.5252,0.90909,0
0.09725,4.9805e-05,3.7251e-08,1,0,0,1,0,505.05,0,0,0,0,0,1.8879,2.5252,0.9596,0
